Task Name,Priority,Owner,Custom Status,% Completed,Tags,Work hours,Start Date,Due Date,Milestone Name,Predecessors,Successors
Auto Audit Checklists,None,"Andrew Morgan, Matthew Martin",Closed,100,,05:00,,,Phase 7 - Manager Dashboard Enhancements,,
Log users by device out of app,None,Andrew Morgan,Closed,100,,00:00,,,Phase 7 - Manager Dashboard Enhancements,,
Edit Issue details overlay,None,"Andrew Morgan, Matthew Martin",Closed,100,,03:00,,,Phase 7 - Manager Dashboard Enhancements,,
Edit audit details,None,Andrew Morgan,Closed,100,,03:00,,,Phase 7 - Manager Dashboard Enhancements,,
View submitted checklist details,None,"Andrew Morgan, Paul McAvoy",Closed,100,,01:00,,,Phase 7 - Manager Dashboard Enhancements,,
Risk Assessment: Auto-Populate Control Tasks ,None,"Andrew Morgan, Matthew Martin",Closed,100,,05:00,,,Phase 7 - Manager Dashboard Enhancements,,
CR05 | In-App Checklists,None,"Andrew Morgan, Matthew Martin",Closed,100,"""Change request""",08:00,,,Phase 7 - Manager Dashboard Enhancements,,
Styling update to use the fullscreen overlay,None,Paul McAvoy,Closed,100,,00:00,,,Phase 7 - Manager Dashboard Enhancements,,
Add search filtering for ad hoc checklists,None,Andrew Morgan,Closed,100,,00:00,,,Phase 7 - Manager Dashboard Enhancements,,
CR02 | Location Subscriptions,None,"Andrew Morgan, Matthew Martin",Closed,100,"""Change request""",15:00,,,Phase 7 - Manager Dashboard Enhancements,,
CR07 | Risk Assessment Versioning,None,Andrew Morgan,Closed,100,"""Change request""",15:00,,,Phase 7 - Manager Dashboard Enhancements,,
CR11 | Risk Assessments Autosuggest,None,"Andrew Morgan, Matthew Martin",Closed,100,"""Change request""",03:00,,,Phase 7 - Manager Dashboard Enhancements,,
CR12 | Clone Risk Assessments,None,Andrew Morgan,Closed,100,"""Change request""",03:00,,,Phase 7 - Manager Dashboard Enhancements,,
Remove settings and notifications icons from mobile header visuals as not part of initial build,None,Kurt Scott,Closed,100,,00:00,,,None,,
Change don't have a peachy account to forgotten password link,None,"Kurt Scott, Kasia Borzecka",Closed,100,,00:00,,,None,,
Remove need to add another zone link,None,"Kurt Scott, Kasia Borzecka",Closed,100,,00:00,,,None,,
